close_time,volume,n_trades,RSI,Will,CCI,ROC,ADX,TRIX,OBV,MFI,BOP,DX,ATR,STOCH_K,STOCH_D,Price_Change_pct,PREV_TARGET,TARGET,marketcap_usd,google_trends,median_transaction_value_usd,maximum_single_transaction_value_usd,new_coins_generated,fees_usd,difficulty,number_of_blocks,VPT,PVO
2018-01-26,33056.87196,314720,39.21322532432902,-62.836849279095645,-45.2483466884557,-3.3636659933176327,48.04741340052596,-1.5105430304203304,-18549.929483,34.156357400730414,-0.0718549386192144,46.70270650022468,1603.911015207986,37.16315072090436,46.11438712089053,-0.0085563314170251,0,1.0,187995804676.0,19.68,173.23,444171616.98,1937.5,2323048.54,2603077300218.59,155,-575.996976474961,-7.720152447911495
2018-01-27,18860.768345,207478,45.83006645467128,-45.13788298914316,42.65966126898646,-10.226141685039147,47.81407678499716,-1.334415760612817,310.8388620000005,30.32770901307358,0.4979499820391179,46.41405709182428,1490.1108701782737,54.86211701085684,43.812355144915685,0.0362521417621065,1,1.0,192550550498.0,16.32,123.97,103137380.96,1962.5,1928150.02,2603077300218.59,157,428.55332002602313,-9.997724658980264
2018-01-28,16887.339524,206247,51.75773375829045,-15.532733727002732,162.62906575622938,3.0351257588898672,44.2040241861515,-1.0872510666282698,17198.178386,43.41946872050321,0.4545095693779918,22.54370859307754,1396.666460152806,84.46726627299726,49.04441418299679,0.0330409270276992,1,0.0,198389948175.0,16.12,121.25,364663258.97,1975.0,1827693.84,2603077300218.59,158,1255.34978401875,-11.650204887061278
2018-01-29,14170.377538,169199,42.90119474903054,-42.454040188114575,51.11073832167463,4.562711139818121,41.985572771162325,-0.9107843544129968,3027.800847999999,50.64940163711723,-0.7528097956838664,28.674864281227308,1316.4955372738336,57.54595981188543,51.79854994612637,-0.0529421420123822,0,0.0,190164444830.0,16.64,130.14,58416532.9,1850.0,1635809.43,2603077300218.59,148,-178.60360375231016,-13.040411420238572
2018-01-30,25554.372946,259212,32.45932251780025,-85.60110921501705,-167.12822355428787,-5.201043042156906,43.13005467497407,-0.911567614696862,-22526.572098,54.511648735452255,-0.7189616733644796,49.99694609784452,1329.6276033775716,14.398890784982944,47.659966825015225,-0.0900080088105805,0,1.0,170151556678.0,20.28,142.12,303217620.5,2087.5,1620269.54,2603077300218.59,167,-3052.1478732577134,-10.694271534237766
2018-01-31,18015.956805,201422,33.34804245560891,-77.000786163522,-136.8443972415915,-9.382299015241411,44.49159822149177,-0.9705287098899508,-4510.615292999999,39.92686804128049,0.0759110008955022,52.660859500598,1243.3736600379186,22.999213836478003,44.470961677108455,0.005386119257087,1,0.0,172099559942.0,20.8,180.46,61361140.36,1462.5,1658860.41,2603077300218.59,117,-2218.188913065569,-10.656804746602708
2018-02-01,33564.764311,316020,24.84735288809233,-86.44349715574818,-134.67268034927153,-17.45595408433085,47.19887756772402,-1.1747566046715008,-38075.379604,24.228913308080088,-0.6695538538266802,63.442553645117485,1292.035994318216,13.556502844251824,40.7133001831938,-0.1031181028867001,0,0.0,154428564693.0,30.16,177.64,74371163.72,2000.0,1950617.49,2603077300218.59,160,-3377.3859993832634,-6.277488654390177
2018-02-02,49971.626975,453411,22.618114376868032,-79.61705062376298,-130.46048402526108,-19.98349715934709,50.41672158157297,-1.4453770008933997,-88047.00657900001,23.258918601338564,-0.2834642494233777,69.72378566466669,1284.599423701328,20.382949376237026,38.31612856252705,-0.038103879659863,0,1.0,148725283812.0,42.120000000000005,201.29,88709516.43,2100.0,2434305.73,2603077300218.59,168,-5365.247680252504,0.3086081123841104
2018-02-03,28725.000735,327519,29.4833676389008,-71.8954742346445,-82.49747471721678,-19.93769036637369,51.7953067201184,-1.6439281206660938,-59322.00584400001,25.108893643351177,0.2628033536707891,60.066817551390926,1278.800934601138,28.1045257653555,34.493615527455425,0.0368453617309981,1,0.0,154540000411.0,27.56,116.215,64758890.0,1975.0,1359268.43,2603077300218.59,158,-845.7298178587025,-0.5070987268090352
2018-02-04,32014.308449,356134,22.312299865991065,-93.70064919332908,-89.38148172645987,-31.10400296297543,53.44318045295828,-1.903816108802869,-91336.314293,13.59735691472292,-0.7059457579972175,63.33042284999756,1301.5436582295467,6.299350806670928,23.326770460837373,-0.1103428710559609,0,0.0,139433682759.0,25.96,114.285,27678392.5,2225.0,914806.21,2603077300218.59,178,-2474.1676663295066,-0.3543190123145079
